pid,player,pos,prev_team,age,proj_ppr,prev_ppr,prev_ppg,prev_g,prev_rk,vbd,vbd_rk,tier,pos_rk
P1254,Saquon Barkley,RB,PHI,29,176.2,232.3,14.52,16,37,32.1,31,2,10
P1486,Travis Etienne,RB,JAX,27,175.3,253.9,14.94,17,29,31.2,32,2,11
P1380,Justin Jefferson,WR,MIN,27,185.2,201.5,11.85,17,65,31.1,33,2,12
P1649,Tetairoa McMillan,WR,CAR,23,183.5,211.4,12.44,17,55,29.4,34,2,13
P1271,Courtland Sutton,WR,DEN,31,183.4,219.7,12.92,17,48,29.3,35,2,14
P1438,DeVonta Smith,WR,PHI,28,183.0,201.8,11.87,17,64,28.9,36,2,15
P1379,Justin Herbert,QB,LAC,28,270.1,286.9,17.93,16,22,28.6,37,2,6
P1610,Ladd McConkey,WR,LAC,25,181.2,180.9,11.31,16,83,27.1,38,2,16
P1561,Wan'Dale Robinson,WR,NYG,25,180.5,217.9,13.62,16,50,26.4,39,2,17
P1507,James Cook,RB,BUF,27,170.4,302.2,17.78,17,18,26.3,40,2,12
P1648,Jaxson Dart,QB,NYG,23,263.7,241.6,17.26,14,33,22.2,41,2,7
P1088,Stefon Diggs,WR,NWE,33,171.6,210.3,12.37,17,57,17.5,42,2,18
P1604,Brian Thomas,WR,JAX,24,171.6,138.8,9.91,14,117,17.5,43,2,19
P1195,Christian McCaffrey,RB,SFO,30,161.3,416.6,24.51,17,1,17.2,44,2,13
P1544,Sam LaPorta,TE,DET,25,148.0,106.9,11.88,9,165,16.1,45,3,6
P1409,Michael Pittman Jr.,WR,IND,29,169.5,202.4,11.91,17,62,15.4,46,2,20
P1435,Javonte Williams,RB,DAL,26,159.2,242.8,15.18,16,32,15.1,47,2,14
P1253,Patrick Mahomes,QB,KAN,31,256.5,285.7,20.41,14,23,15.0,48,2,8
P1431,Jaylen Waddle,WR,MIA,28,168.3,194.1,12.13,16,68,14.2,49,2,21
P1576,Rico Dowdle,RB,CAR,28,157.6,216.3,12.72,17,52,13.5,50,2,15
P1386,Tee Higgins,WR,CIN,27,165.4,211.6,14.11,15,54,11.3,51,2,22
P1439,Kyle Pitts,TE,ATL,26,140.0,210.8,12.4,17,56,8.1,52,3,7
P1568,Zach Charbonnet,RB,SEA,25,152.2,181.4,11.34,16,82,8.1,53,2,16
P1162,Derrick Henry,RB,BAL,32,151.8,279.5,16.44,17,25,7.7,54,2,17
P1628,Parker Washington,WR,JAX,24,160.9,184.7,11.54,16,79,6.8,55,2,23
