,,,,,Games,Games,Passing,Passing,Passing,Passing,Passing,Rushing,Rushing,Rushing,Rushing,Receiving,Receiving,Receiving,Receiving,Receiving,Fumbles,Fumbles,Scoring,Scoring,Scoring,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,Fantasy,-additional
Rk,Player,Tm,FantPos,Age,G,GS,Cmp,Att,Yds,TD,Int,Att,Yds,Y/A,TD,Tgt,Rec,Yds,Y/R,TD,Fmb,FL,TD,2PM,2PP,FantPt,PPR,DKPt,FDPt,VBD,PosRank,OvRank,-9999
125,Khalil Shakir,BUF,WR,26,1,0,0,0,0,0,0,0,0,,0,6,4,50,12.50,0,0,0,0,,,5,9.0,9.0,7.0,,47,,ShakKh00
126,Luther Burden,CHI,WR,23,1,1,0,0,0,0,0,1,2,2.00,0,5,5,63,12.60,0,1,1,0,,,5,9.5,10.5,7.0,,48,,BurdLu00
127,Rome Odunze,CHI,WR,24,1,1,0,0,0,0,0,0,0,,0,3,2,52,26.00,0,0,0,0,,,5,7.2,7.2,6.2,,45,,OdunRo00
128,Samaje Perine,CIN,RB,31,1,0,0,0,0,0,0,5,20,4.00,0,3,3,30,10.00,0,0,0,0,,,5,8.0,8.0,6.5,,38,,PeriSa00
129,Quinshon Judkins,CLE,RB,23,1,1,0,0,0,0,0,12,33,2.75,0,2,2,17,8.50,0,0,0,0,,,5,7.0,7.0,6.0,,39,,JudkQu00
130,Bo Nix,DEN,QB,26,1,1,17,28,131,1,1,3,2,0.67,0,0,0,0,,0,3,1,0,,,5,5.4,7.4,6.4,,31,,NixxBo00
131,Sam LaPorta,DET,TE,25,1,1,0,0,0,0,0,0,0,,0,8,5,48,9.60,0,0,0,0,,,5,9.8,9.8,7.3,,21,,LaPoSa01
132,Jameson Williams,DET,WR,25,1,1,0,0,0,0,0,0,0,,0,9,4,45,11.25,0,0,0,0,,,5,8.5,8.5,6.5,,49,,WillJa11
133,Jonnu Smith,GNB,TE,31,1,0,0,0,0,0,0,0,0,,0,3,2,50,25.00,0,0,0,0,,,5,7.0,7.0,6.0,,19,,SmitJo01
134,Jaylin Noel,HOU,WR,24,1,0,0,0,0,0,0,0,0,,0,2,2,53,26.50,0,0,0,0,,,5,7.3,7.3,6.3,,42,,NoelJa00
135,Mack Hollins,NWE,WR,33,1,1,0,0,0,0,0,0,0,,0,5,4,51,12.75,0,0,0,0,,,5,9.1,9.1,7.1,,46,,HollMa00
136,DeVonta Smith,PHI,WR,28,1,1,0,0,0,0,0,0,0,,0,6,3,53,17.67,0,0,0,0,,,5,8.3,8.3,6.8,,43,,SmitDe07
137,Jaylen Warren,PIT,RB,28,1,1,0,0,0,0,0,10,46,4.60,0,6,5,27,5.40,0,1,1,0,,,5,10.3,11.3,7.8,,37,,WarrJa01
138,Blake Corum,LAR,RB,26,1,0,0,0,0,0,0,10,54,5.40,0,0,0,0,,0,0,0,0,,,5,5.4,5.4,5.4,,36,,CoruBl00
139,Mark Andrews,BAL,TE,31,1,1,0,0,0,0,0,0,0,,0,6,4,49,12.25,0,0,0,0,,,5,8.9,8.9,6.9,,20,,AndrMa00
140,Chris Moore,BAL,WR,33,1,0,0,0,0,0,0,0,0,,0,2,1,53,53.00,0,0,0,0,,,5,6.3,6.3,5.8,,44,,MoorCh00
